BRIDGE | TRACE | 10:57:50 | 3.72 | Creating Bridge Instance
LOGINMANAGER | STATE_START | 10:57:50 | 3.72 | Introduction
LOGINMANAGER | TRACE | 10:57:50 | 3.72 | ToggleControllerRendering()
DOWNLOADUTILITY | TRACE | 10:57:50 | 3.72 | Found local file $/documents/C2/login/All_Labs.json, Not downloading
LOGINMANAGER | TRACE | 10:57:50 | 3.72 | ParseLabs()
LOGINMANAGER | DEBUG | 10:57:50 | 3.72 | Finished parsing labs:Moon Lab, 
LOGINMANAGER | TRACE | 10:57:50 | 3.72 | SetupIntroAnimation()
DOWNLOADUTILITY | TRACE | 10:57:50 | 3.72 | Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 10:57:51 | 3.72 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 10:57:51 | 0 | Connect called at 02/16/2024 10:57:51
LOGGER | TRACE | 10:57:51 | 0 | Saving files to persistent data path: /documents/C2/Logs/02-16-2024_10-57.txt
LOGGER | TRACE | 10:57:51 | 0 | Sync with transform log 3.722304
DOWNLOADUTILITY | TRACE | 10:57:51 | 0.02 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 10:57:51 | 0.02 | ParseCSV()
AUTHENTICATE | DEBUG | 10:58:01 | 0.02 | CSVs Parsed
LOGINMANAGER | TRACE | 10:58:12 | 11.21 | ConfirmTarget1()
LOGINMANAGER | STATE_START | 10:58:12 | 11.21 | Pin Entry
LOGINMANAGER | TRACE | 10:58:12 | 11.21 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 10:58:15 | 14.42 | GuestLogin()
LOGINMANAGER | STATE_START | 10:58:15 | 14.42 | Authentication
LABLOGGER | INITIALIZE | 10:58:15 | 14.42 | Log file for student: Guest_Guest,  M00000000.
LOGINMANAGER | DEBUG | 10:58:15 | 14.42 | Student authenticated: Guest Guest, M00000000
LOGINMANAGER | STATE_START | 10:58:15 | 14.42 | Lab Selection
LOGINMANAGER | TRACE | 10:58:15 | 14.42 | GenerateLabListUI()
LOGINMANAGER | TRACE | 10:58:16 | 15.84 | LabSelected()
LOGINMANAGER | DEBUG | 10:58:16 | 15.84 | Lab Selected: 1, Moon Lab
LOGINMANAGER | STATE_START | 10:58:17 | 15.84 | Lab Initiation
DOWNLOADUTILITY | TRACE | 10:58:17 | 15.84 | Starting to extract file: /documents/C2/lab_resources/FullTransmissionLab.zip
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Number of entries to extract: 26
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: basketball.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: bigearthmoon.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: Grab.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: introduction.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: labintro.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: newfinalie.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: not_in_order1.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: not_in_order2.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: not_in_order3.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: Release.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: seeing the moon.wav
DOWNLOADUTILITY | DEBUG | 10:58:17 | 15.84 | Extracting file: sorting_instructions.wav
DOWNLOADUTILITY | DEBUG | 10:58:18 | 15.84 | Extracting file: sort-nicejob.wav
DOWNLOADUTILITY | DEBUG | 10:58:18 | 15.84 | Extracting file: startbasketball.mp3
DOWNLOADUTILITY | DEBUG | 10:58:18 | 15.84 | Extracting file: startsim.wav
DOWNLOADUTILITY | DEBUG | 10:58:18 | 15.84 | Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY | DEBUG | 10:58:18 | 15.84 | Extracting file: Test55.mp3
DOWNLOADUTILITY | DEBUG | 10:58:18 | 15.84 | Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY | DEBUG | 10:58:19 | 15.84 | Extracting file: Full_Lab_Transmission.json
DOWNLOADUTILITY | DEBUG | 10:58:19 | 15.84 | Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY | DEBUG | 10:58:19 | 15.84 | Extracting file: 2k_moon.jpg
DOWNLOADUTILITY | DEBUG | 10:58:19 | 15.84 | Extracting file: 2k_sun.jpg
DOWNLOADUTILITY | DEBUG | 10:58:19 | 15.84 | Extracting file: balldimpled.png
LOGINMANAGER | DEBUG | 10:58:19 | 15.84 | Checking file Full_Lab_Transmission.json, in Directory /documents/C2/lab_resources/FullTransmissionLab
MEDIACATALOGUE | DEBUG | 10:58:19 | 15.84 | Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE | DEBUG | 10:58:19 | 15.84 | Started loading file: basketball.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.2 | Started loading file: bigearthmoon.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.24 | Started loading file: Grab.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.26 | Started loading file: introduction.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.29 | Started loading file: labintro.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.33 | Started loading file: newfinalie.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.34 | Started loading file: not_in_order1.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.36 | Started loading file: not_in_order2.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.38 | Started loading file: not_in_order3.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.4 | Started loading file: Release.wav
