BRIDGE | TRACE | 10:11:52 | 3.81 | Creating Bridge Instance
LOGINMANAGER | STATE_START | 10:11:52 | 3.81 | Introduction
LOGINMANAGER | TRACE | 10:11:52 | 3.81 | ToggleControllerRendering()
DOWNLOADUTILITY | TRACE | 10:11:52 | 3.81 | Found local file $/documents/C2/login/All_Labs.json, Not downloading
LOGINMANAGER | TRACE | 10:11:52 | 3.81 | ParseLabs()
LOGINMANAGER | DEBUG | 10:11:52 | 3.81 | Finished parsing labs:Moon Lab, 
LOGINMANAGER | TRACE | 10:11:52 | 3.81 | SetupIntroAnimation()
DOWNLOADUTILITY | TRACE | 10:11:52 | 3.81 | Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 10:11:52 | 3.81 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 10:11:52 | 0 | Connect called at 02/23/2024 10:11:52
LOGGER | TRACE | 10:11:52 | 0 | Saving files to persistent data path: /documents/C2/Logs/02-23-2024_10-11.txt
LOGGER | TRACE | 10:11:52 | 0 | Sync with transform log 3.805868
DOWNLOADUTILITY | TRACE | 10:11:53 | 0.07 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 10:11:53 | 0.07 | ParseCSV()
AUTHENTICATE | DEBUG | 10:12:01 | 0.07 | CSVs Parsed
LOGINMANAGER | TRACE | 10:12:12 | 10.34 | ConfirmTarget1()
LOGINMANAGER | STATE_START | 10:12:12 | 10.34 | Pin Entry
LOGINMANAGER | TRACE | 10:12:12 | 10.34 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 10:12:14 | 12.38 | GuestLogin()
LOGINMANAGER | STATE_START | 10:12:14 | 12.38 | Authentication
LABLOGGER | INITIALIZE | 10:12:14 | 12.38 | Log file for student: Guest_Guest,  M00000000.
LOGINMANAGER | DEBUG | 10:12:14 | 12.38 | Student authenticated: Guest Guest, M00000000
LOGINMANAGER | STATE_START | 10:12:14 | 12.38 | Lab Selection
LOGINMANAGER | TRACE | 10:12:15 | 12.38 | GenerateLabListUI()
LOGINMANAGER | TRACE | 10:12:16 | 13.88 | LabSelected()
LOGINMANAGER | DEBUG | 10:12:16 | 13.88 | Lab Selected: 1, Moon Lab
LOGINMANAGER | STATE_START | 10:12:16 | 13.88 | Lab Initiation
DOWNLOADUTILITY | TRACE | 10:12:16 | 13.88 | Starting to extract file: /documents/C2/lab_resources/FullTransmissionLab.zip
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Number of entries to extract: 64
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: basketball.wav
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: bigearthmoon.wav
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: Grab.wav
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: introduction.wav
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: labintro.wav
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY | DEBUG | 10:12:16 | 13.88 | Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_10_0.wav
