#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T18:45:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a279d1ddc26	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-out.src=V/53A/catalog,V/53A/names
#-nav=cat:V/53A&tab:{V/53A/catalog}&tab:{V/53A/names}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a279d1ddc26&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-ignore=HR_data=*&HR_data=HR_data&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=GLON&-out=GLAT&HIP_data=HIP_data&-out=Dist&-out=Vmag&-out=SpType&Simbad=Simbad&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/53A/catalog,V/53A/names
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/53A/catalog V/53A/names
#-out=HR
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=GLON
#-out=GLAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=Name
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=]
#Column	Const	(A3)	Constellation (3 characters)	[ucd=]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=]
#Column	SpType	(a19)	MK Spectral Type	[ucd=]
_RAJ2000	_DEJ2000	HR	Const	RA2000	DE2000	ELON	ELAT	GLON	GLAT	Dist	Vmag	SpType
deg	deg	 	 	"h:m:s"	"d:m:s"	deg	deg	deg	deg	al	mag	
----------	----------	----	---	----------	---------	------	------	------	------	-----	-----	-------------------
001.333750	 -5.707500	   3	Psc	00 05 20.1	-05 42 27	358.95	 -5.77	 93.75	-65.93	  130	 4.61	K1III
002.096667	+29.090556	  15	And	00 08 23.2	+29 05 26	 14.31	 25.68	111.73	-32.84	   98	 2.06	B8IVpMnHg
002.294167	+59.149722	  21	Cas	00 09 10.6	+59 08 59	 35.12	 51.22	117.52	 -3.27	   55	 2.27	F2III-IV
002.352500	-45.747500	  25	Phe	00 09 24.6	-45 44 51	339.65	-41.96	324.34	-69.60	  141	 3.87	K0III
002.815833	-15.468056	  33	Cet	00 11 15.8	-15 28 05	356.28	-15.28	 82.24	-75.06	   62	 4.89	F7V
003.308750	+15.183611	  39	Peg	00 13 14.1	+15 11 01	  9.16	 12.60	109.43	-46.68	  362	 2.84	B2IV
003.650417	+20.206667	  45	Peg	00 14 36.1	+20 12 24	 11.60	 17.05	111.30	-41.83	  326	 4.80	M2+III
003.659583	-18.932778	  48	Cet	00 14 38.3	-18 55 58	355.54	-18.77	 75.11	-78.23	  543	 4.46	M3III
004.272500	+38.681667	  63	And	00 17 05.4	+38 40 54	 21.20	 33.39	115.62	-23.70	  271	 4.61	A2V
004.581667	+36.785278	  68	And	00 18 19.6	+36 47 07	 20.40	 31.60	115.59	-25.61	  141	 4.52	A2V
004.856667	 -8.823889	  74	Cet	00 19 25.6	-08 49 26	  0.92	-10.02	 98.98	-70.19	  296	 3.55	K1.5III
005.017500	-64.875000	  77	Tuc	00 20 04.2	-64 52 30	322.37	-57.72	308.35	-51.90	   28	 4.23	F9V
006.438750	-77.254444	  98	Hyi	00 25 45.3	-77 15 16	300.97	-64.79	304.81	-39.77	   24	 2.79	G2IV
006.570833	-42.306111	  99	Phe	00 26 17.0	-42 18 22	345.49	-40.63	320.02	-73.98	   77	 2.38	K0III
006.550417	-43.680000	 100	Phe	00 26 12.1	-43 40 48	344.52	-41.79	318.42	-72.68	   77	 3.93	A7V
006.982083	-33.007222	 105	Scl	00 27 55.7	-33 00 26	351.58	-32.71	342.36	-82.23	  645	 4.81	M4III
007.942917	+54.522222	 123	Cas	00 31 46.3	+54 31 20	 34.67	 45.66	120.05	 -8.24	  362	 4.73	B8Vn
007.853750	-48.803611	 125	Phe	00 31 24.9	-48 48 13	341.62	-46.57	311.75	-67.98	  181	 4.77	A0V
007.886250	-62.958333	 126	Tuc	00 31 32.7	-62 57 30	326.59	-57.35	306.78	-54.02	  141	 4.37	B9V
007.890000	-62.965833	 127	Tuc	00 31 33.6	-62 57 57	326.58	-57.36	306.78	-54.01	  181	 4.54	A2V+A7V
008.249583	+62.931944	 130	Cas	00 32 59.9	+62 55 55	 42.60	 52.28	120.84	  0.14	 2917	 4.16	B1Iae
009.242500	+53.896944	 153	Cas	00 36 58.2	+53 53 49	 35.07	 44.72	120.78	 -8.91	  660	 3.66	B2IV
009.220000	+33.719444	 154	And	00 36 52.8	+33 43 10	 22.68	 27.15	119.47	-29.05	  356	 4.36	B5V
009.638750	+29.311944	 163	And	00 38 33.3	+29 18 43	 20.92	 23.02	119.57	-33.47	  171	 4.38	G8IIIp
009.831667	+30.861111	 165	And	00 39 19.6	+30 51 40	 21.81	 24.35	119.87	-31.94	  101	 3.28	K3III
010.126667	+56.537500	 168	Cas	00 40 30.4	+56 32 15	 37.78	 46.62	121.42	 -6.30	  232	 2.23	K0IIIa
010.515833	+50.512500	 179	Cas	00 42 03.8	+50 30 45	 33.48	 41.45	121.41	-12.33	  572	 4.81	B2V
010.331250	-46.085000	 180	Phe	00 41 19.5	-46 05 06	345.82	-45.27	308.31	-70.94	  250	 4.59	G8III
010.866667	+47.024722	 184	Cas	00 43 28.0	+47 01 29	 31.42	 38.33	121.52	-15.82	  181	 4.94	A5V
010.897083	-17.986667	 188	Cet	00 43 35.3	-17 59 12	  2.58	-20.78	111.31	-80.68	   95	 2.01	K0IIICH-1H,K-0.5
010.838333	-57.463056	 191	Phe	00 43 21.2	-57 27 47	335.34	-54.46	305.08	-59.63	  250	 4.36	A0IV
011.181250	+48.284444	 193	Cas	00 44 43.5	+48 17 04	 32.46	 39.31	121.78	-14.57	  476	 4.50	B5IIIe
011.047083	-10.609444	 194	Cet	00 44 11.3	-10 36 34	  5.89	-14.11	116.69	-73.39	  217	 4.75	K0IIIv
011.834583	+24.267222	 215	And	00 47 20.3	+24 16 02	 20.58	 17.62	121.74	-38.59	  191	 4.06	K1IIe
