#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T19:08:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a2d31220564	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-out.src=V/53A/catalog
#-nav=cat:V/53A&tab:{V/53A/catalog}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a2d31220564&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=n_HR&-out=Bayer&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=Dist&-out=Vmag&-out=SpType&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=V/53A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/53A/catalog
#-out=HR
#-out=n_HR
#-out=Bayer
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=Dist
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=]
#Column	n_HR	(A1)	Simbad column added by the CDS	[ucd=]
#Column	Bayer	(A4)	Greek letter (lettre grecque)	[ucd=]
#Column	Const	(A3)	Constellation (3 characters)	[ucd=]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=]
#Column	SpType	(a19)	MK Spectral Type	[ucd=]
_RAJ2000	_DEJ2000	HR	n_HR	Bayer	Const	RA2000	DE2000	ELON	ELAT	Dist	Vmag	SpType
deg	deg	 	 	 	 	"h:m:s"	"d:m:s"	deg	deg	al	mag	
----------	----------	----	-	----	---	----------	---------	------	------	-----	-----	-------------------
001.333750	 -5.707500	   3	 	    	Psc	00 05 20.1	-05 42 27	358.95	 -5.77	  130	 4.61	K1III
002.096667	+29.090556	  15	*	alf 	And	00 08 23.2	+29 05 26	 14.31	 25.68	   98	 2.06	B8IVpMnHg
002.294167	+59.149722	  21	*	bet 	Cas	00 09 10.6	+59 08 59	 35.12	 51.22	   55	 2.27	F2III-IV
002.352500	-45.747500	  25	 	eps 	Phe	00 09 24.6	-45 44 51	339.65	-41.96	  141	 3.87	K0III
002.815833	-15.468056	  33	 	    	Cet	00 11 15.8	-15 28 05	356.28	-15.28	   62	 4.89	F7V
003.308750	+15.183611	  39	*	gam 	Peg	00 13 14.1	+15 11 01	  9.16	 12.60	  362	 2.84	B2IV
003.650417	+20.206667	  45	 	chi 	Peg	00 14 36.1	+20 12 24	 11.60	 17.05	  326	 4.80	M2+III
003.659583	-18.932778	  48	 	    	Cet	00 14 38.3	-18 55 58	355.54	-18.77	  543	 4.46	M3III
004.272500	+38.681667	  63	 	tet 	And	00 17 05.4	+38 40 54	 21.20	 33.39	  271	 4.61	A2V
004.581667	+36.785278	  68	 	sig 	And	00 18 19.6	+36 47 07	 20.40	 31.60	  141	 4.52	A2V
004.856667	 -8.823889	  74	 	iot 	Cet	00 19 25.6	-08 49 26	  0.92	-10.02	  296	 3.55	K1.5III
005.017500	-64.875000	  77	 	zet 	Tuc	00 20 04.2	-64 52 30	322.37	-57.72	   28	 4.23	F9V
006.438750	-77.254444	  98	 	bet 	Hyi	00 25 45.3	-77 15 16	300.97	-64.79	   24	 2.79	G2IV
006.570833	-42.306111	  99	 	alf 	Phe	00 26 17.0	-42 18 22	345.49	-40.63	   77	 2.38	K0III
006.550417	-43.680000	 100	 	kap 	Phe	00 26 12.1	-43 40 48	344.52	-41.79	   77	 3.93	A7V
006.982083	-33.007222	 105	 	eta 	Scl	00 27 55.7	-33 00 26	351.58	-32.71	  645	 4.81	M4III
007.942917	+54.522222	 123	 	lam 	Cas	00 31 46.3	+54 31 20	 34.67	 45.66	  362	 4.73	B8Vn
007.853750	-48.803611	 125	 	lam1	Phe	00 31 24.9	-48 48 13	341.62	-46.57	  181	 4.77	A0V
007.886250	-62.958333	 126	 	bet1	Tuc	00 31 32.7	-62 57 30	326.59	-57.35	  141	 4.37	B9V
007.890000	-62.965833	 127	 	bet2	Tuc	00 31 33.6	-62 57 57	326.58	-57.36	  181	 4.54	A2V+A7V
008.249583	+62.931944	 130	 	kap 	Cas	00 32 59.9	+62 55 55	 42.60	 52.28	 2917	 4.16	B1Iae
009.242500	+53.896944	 153	 	zet 	Cas	00 36 58.2	+53 53 49	 35.07	 44.72	  660	 3.66	B2IV
009.220000	+33.719444	 154	 	 pi 	And	00 36 52.8	+33 43 10	 22.68	 27.15	  356	 4.36	B5V
